Customer ID: 00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 32.0 years.
Customer ID: 05303bc82456654fc660a726992ea85ea3609d89588ce09e7266bd785e1d9536, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 51.0 years.
Customer ID: 0538ad5c28a869b730aedb71620d2c4044c2b2ae1680f1a53cf47e4db9a7a35f, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 23.0 years.
Customer ID: 05396049fe558c46bfa9bd60185a713742cf5df554cceaa7a70a91c8faf5ee40, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 24.0 years.
Customer ID: 054508e8f2a59a4b43901b76e14e5433a6d788d589da3fef2d59585dfa37ea5c, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 19.0 years.
Customer ID: 0546426ec65aab6cbf720fbea95b03d0e1d77ef95e260fa1aeb044f381a390a2, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 58.0 years.
Customer ID: 054d2fdf39fafc6d65ca3eb34e806de6fd795c621670ce5e4337f0cb60ec7574, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 26.0 years.
Customer ID: 0555f0db4a2694a62c7842440ca57a8e77812be9723c9b769ed0270a13dd6639, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 53.0 years.
Customer ID: 05701e4bc2f83b8ebd680fc7984978a46d961a2eb4532ec4ae62561d8f4fdd12, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 30.0 years.
Customer ID: 0572ee4d4c148508a6a40bbb3349a8e6ca285097f3843e78e2395438fc19e304, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 65.0 years.
Customer ID: 05756b93acb8fc226348c8e56375411205fd98ec189f65d918596b0011599d12, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 68.0 years.
Customer ID: 05887aca6a1742c97497dded62e474cc10b5c5d783eaffa4663e364e72a99d6e, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 66.0 years.
Customer ID: 0592e247fc4388fe73eaacb8d8577e5d817b4b0c7e679cb9b5693d34744cdc88, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 22.0 years.
Customer ID: 059d4230aeb70d519fb5e5e5ec8f5efc6c3eaad65b06af8810c7fb6be64e20ab, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 28.0 years.
Customer ID: 059f53ef25339055a6a6364ce3d515a70dfe2f8bc9e5c52c5e4ed5dc120f52b6, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 31.0 years.
Customer ID: 05a1943019cd09350d46e7a622035ebe6c14932853c34d208e5072b26551f844, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 28.0 years.
Customer ID: 05a7a0a0a5dd9e5939fd0519ef0d04987dc3c5fcfe9b35b6f9288032216bf149, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 35.0 years.
Customer ID: 05a7beb1c0c6615415a2817654bc29c6a37f7e004bb20fa055c53bd0e3e739c9, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 25.0 years.
Customer ID: 05a91531c0e677848850db0ab5c87bd36d89eeeacf545e7a3ae638d9c66f1036, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 27.0 years.
Customer ID: 05b9ba6366c38626f56370aabbeb19ac1364270113d07b64bb77ddbbebee8e46, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 19.0 years.
Customer ID: 05da4959e37b89f92911a98e4b5a94be73a77e6d64a19440b96b05c754da115b, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 44.0 years.
Customer ID: 05da6b40ab1e2cd6bc378c4264b315839536810259cb0593c2d83c2aa3cd927b, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 53.0 years.
Customer ID: 05df6a37552e8b59cdba6d58ece5ba5fd47996537a5de3013d500f7fe329ac0f, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 57.0 years.
Customer ID: 05e6e5e62ed69b24c6a59b242fe896ea8c28b66892537b4772560cde21c33621, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 19.0 years.
Customer ID: 05ed96931b707698bc94aa53766d44686ae5ccbbc99dfbda8694ae811c54f28f, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 37.0 years.
Customer ID: 05ee01004df5c76b1b4a1934338550468db65481f8fd5f2fcefffba1c8895ef3, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 59.0 years.
Customer ID: 05f35811e2c938b8d3a68e0d1ac0e645495a1fcd080df56168bf978da998120c, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 46.0 years.
Customer ID: 05f65801b9a2d28a50a877492c2d72cafd561356e059ee3140c805c25b0744d0, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 30.0 years.
Customer ID: 05f86f4705e1fe94cc0fed558f895c3f2d445f442d2be85bcf6e78a338d2120e, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 24.0 years.
Customer ID: 05fe202523b17a506a488f1e18626966a2fb555b3adbfb99b855f332f763b639, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 27.0 years.
Customer ID: 06026ccc112fe63e199a24d3b7cc84e00be80976ed97d67dcae15609d38f18f0, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 45.0 years.
Customer ID: 060d78b341030443d77fec31f6f6f8f13e90e5afeea364c11c502512e11c5976, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 24.0 years.
Customer ID: 060e2fa2c569470ee7ab899da63363a3c58b6fc5ee66bbd11735d08242843519, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 60.0 years.
Customer ID: 060fc98ff9981014e28ca0c69b895f3bbd0d1f4289decfd3e97de77c816e24b3, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 31.0 years.
Customer ID: 06103a5395f5579e9161899412dd594e2f3c652e0a34d30867e9906d9a2338e5, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 27.0 years.
Customer ID: 06120fcda68e9342fe15c63bc4274c7f9619cba3bd81159d27264c9e7c2c1569, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 34.0 years.
Customer ID: 062d2a66f22d7e181d2f52c7b0961b9312e08bf79c84dfbea709f534c1e43256, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 22.0 years.
Customer ID: 063b18b8887447b6bf21b56496069f014f81cfbe281b55dcaf54d1bdd089332b, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 46.0 years.
Customer ID: 064ba6cc4379c26fbaecc9904d91894abaafb6edd614bcbbb125f70ed3b28aed, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 29.0 years.
Customer ID: 0650eda21cf16849eecf9773903eefe47a80e9b46ab0ade58330a99f6cee7051, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 27.0 years.
Customer ID: 06512ae37ead832d8aeb97ad3e16e7368974108548f1a7580f4b2af230f7dc2e, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 31.0 years.
Customer ID: 06523f95f192ddce301b8df183aca51e1f7faddf7e71b85268dc320fdf346b3c, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 64.0 years.
Customer ID: 0653814d364bd9ce37fef7244eef50fca9bf3ce32fee277d7dd1447a2efe62a3, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 55.0 years.
Customer ID: 06622cd3c0651f9046c91e4b7ffb15b113ae6d192214ecf4515d590dec49ef19, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 54.0 years.
Customer ID: 06636eaa476a2f3417e8d11905e17a8066b4c9ae26bc785eb8a55e0b8ba29d9e, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 56.0 years.
Customer ID: 066520e166dd66c1a6b321a4cdec271b31c632bcac2bb8f473401084587048aa, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 29.0 years.
Customer ID: 0667219847ad2c164e5a8939746cc57c3ac86a747a57522f63e1f9ae8f06c4c5, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 27.0 years.
Customer ID: 066a09310c10ff9f58bb92ccdeec4500922ffa2825e3bc0617533be7297aae95, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 64.0 years.
Customer ID: 066ddc1279a08de3644a79e1f3c17409dc0e44e147ed9a02b68d444a5fb6f28b, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 56.0 years.
Customer ID: 06756e39fcf7b51b98cd087e765de8e501c8c19f36993352143e9376fe965c7a, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 29.0 years.
Customer ID: 0677cf7eee496ab731e9ea2177098872167ccef3b4b27b05034588c1057fea0c, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 52.0 years.
Customer ID: 068478b2db4117236accc0e54a28ac16da45e675958637e07aee82c6a45deef9, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 70.0 years.
Customer ID: 06878ff9b50fa7b950cb6f592d9d9369f1adc61ca6f62408aded14911cc91556, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 24.0 years.
Customer ID: 0687a31cba8dfc76804de69388f9e861dab534abdcf60d4c80df5dfc1265a761, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 35.0 years.
Customer ID: 06884807549bd7463a0f21e97beacbd0bd28c01dfde80d5baa154498b0e46b2f, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 23.0 years.
Customer ID: 068d3bd97dd78ba267e2adbfe7c508723c33479b57f5c4978e25b8eee9087b09, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 21.0 years.
Customer ID: 0697bd5f91761d44be301ec35eb1cbb45147dd351a5855646b6c977dfc763701, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 36.0 years.
Customer ID: 06a2e63d0363dcbd83c0e4f800727805f2881f53b4f024cd36648ed6e6a2b787, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 44.0 years.
Customer ID: 06a4d8c65cfca70f76dd38694dafefbd9060db66f73f785688b4eba289acc25f, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 22.0 years.
Customer ID: 06a694fd5ee390a7cbfc3d5489a6912210ccc08bd4b497125fc475dfeaff95ee, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 55.0 years.
Customer ID: 06a96249a615d867a44e26bbf5af973205114541f7f6bfecfbe0e8beb57adad3, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 22.0 years.
Customer ID: 06aeab63a26b9e1a247765a9005cfa48e3dd2c7326ea193cbdcb32ddcda18e98, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 45.0 years.
Customer ID: 06ba62adf5f36b4b425e531eccd98ec5b47e58419455b495467d0d1767aba7d5, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 30.0 years.
Customer ID: 06bb67b780840ca01a98558e414d50f643d7870b9c78c0f5e82674a9db500e88, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 52.0 years.
Customer ID: 06bccb6e53b19c40d289a2205609cad8e0fc6968a42e12744a48851fde264b74, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 47.0 years.
Customer ID: 06c808c096c4aeb130baf4853090b663d74dcd1a0c2862a7918d7060dd9bf171, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 22.0 years.
Customer ID: 06d0f0778113fab0825c1e416ff1b23d287fdc15a0c659b32e7d8e8f6538c81c, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 29.0 years.
Customer ID: 06d23b72cac134851a761473b40c881c300814981b6b0a3c4692ddf5a93f2a48, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 67.0 years.
Customer ID: 06d4c6a3e8821c13a31458f767dba075baf47276956dd2e4efc75104ba369b3d, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 23.0 years.
Customer ID: 06d4f1bfd3899633b7d1882b5925f6d76ecbe7f8b4d60cb56a6f50a88cbbfa56, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 33.0 years.
Customer ID: 06d9d9fe13c5220017d863d2e766125c1fa714b040408fc17b355401c8e7464c, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 25.0 years.
Customer ID: 06dae22a5270ec8e7a3886cd061e0020af92da699a1abc694c0212a378c2345c, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 21.0 years.
Customer ID: 06e049f19c81c205a1c250a7297c4faf2d6c93405d7ce74f8949d97daeee1747, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 29.0 years.
Customer ID: 06e0e78fc07ac4c4bea2a9cd32916be469c943cc2f63bafbee2e1b208826288a, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 26.0 years.
Customer ID: 06e54dc0d0eb7dbef07aa2189025b260f2346fbe23445fe0f91cf2eb1a038b04, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 47.0 years.
Customer ID: 06e9ec429ec619811b8359e4847ceed2855aaeacbd592ecd23e63c718c734efc, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 46.0 years.
Customer ID: 06eea4dee9a569476f757578611823e18e8155db2f6678fd2215c2670f528ea7, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 54.0 years.
Customer ID: 06ef1f31c305cad2b841434c8ad55519f5da7271f823acbbcb80f364e0697031, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 24.0 years.
Customer ID: 06f7a798e75c326db63e92ea39f0dc624dbdab0ff4fe9fe5b5e72b1129ead3a1, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 23.0 years.
Customer ID: 06f9c19e99e5f3f41eabe6ae2bf2dbdf42cf7e593e6050f9e9010c068d3694a5, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 26.0 years.
Customer ID: 06fb540d721f33154ff93ae30a699ec6e362c8a1e3ef62f7c646de054bcfdc62, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 22.0 years.
Customer ID: 0704c8a4f3eeacd44e45860154f89675081df548731b6c2d92c50a9c329b7ea9, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 36.0 years.
Customer ID: 071165afea48d0755e4375dade2ab169088582d92a92a766d66e93059455cb55, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 20.0 years.
Customer ID: 071a8ab25ecacadd228005e73df60319a4411f3e0e0c5253927eab1175632240, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 26.0 years.
Customer ID: 07202fbc655746d9ee39542cffd05530593e9244e5953573ece5d0bfab91dec0, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 67.0 years.
Customer ID: 0726d89b68b0d42fa68f0dcea1b27cd1622e9302c0e4393c37f4f76a53261be7, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 24.0 years.
Customer ID: 072986c67cd22d9680516a1c7730f4b77e1e6b763983d89420f1b1a443f0b51b, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 22.0 years.
Customer ID: 072e3a0651c0d583fe10a98c4971e1b7eed73a7fa5bd220aeb7644b17357e77b, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 39.0 years.
Customer ID: 07388dd970e2aa92931568efd626f62a8ed64176eebcddc75f3e91b38c693072, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 29.0 years.
Customer ID: 0742624c8bfcd1a62937aeef3ba7658a17afaf292a18009a88146de34ce44e2a, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 21.0 years.
Customer ID: 0745af85843f2d07371af344bcf8f6f8dab677cffb462b311a06647fd1a82868, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 25.0 years.
Customer ID: 0746288c301174614077393a9d18ebf34bab43ae138c517d58613e0c58141697, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 44.0 years.
Customer ID: 07473f0634e042b65c50eac015fed47b266030a2c06aeff44820608d9c97c97a, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 36.0 years.
Customer ID: 075392907b0da2799475ecb51220af65cba10ebc08a7c684f9854d872cc1039c, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 50.0 years.
Customer ID: 0754e4e1f70a168a16f7c9a891a145e8e886a510a853819818adba212ff3c0e2, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 36.0 years.
Customer ID: 0755f30a2c22a8a10c3453757f69f502e221e817181c8179153f86fb75cd183e, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 27.0 years.
Customer ID: 076b49550052cfd4f2c9a6ed36a8570e9a582f0f153cfc33196260546faa9aef, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 22.0 years.
Customer ID: 077641946a092614f6da9c0ab14ce034907c4e168bd73ae680f423a11c20bf71, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 49.0 years.
Customer ID: 077dcc7ef4f4109d94985279a8b1b5c25185f73c715601ab4bfa42f32d3e604b, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 28.0 years.
Customer ID: 07844c2a58fc152059c02c62f90cec8097c4902366968ad0cea957062252e758, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 23.0 years.
Customer ID: 078ca6ccc1f3f908e86b62d22b6de750522a013b34bdd12223e1fedd09434a60, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: PRE-CREATE, Fashion News Frequency: NONE, Age: 56.0 years.
Customer ID: 0795fc42338517a83dea1ed1357b8bd91291b9136bc7f840faa5644c5f7066e1, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 54.0 years.
Customer ID: 07a420b50098f077205a5d56780dd0d946034362b00198f7e5b5114876c29151, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 26.0 years.
Customer ID: 07a55454c1c21b932c594eb7ca3ca52ae208cbbcc1552c1313561a5503540d32, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 26.0 years.
Customer ID: 07aa44af214e0ca41dcef6288d48937e5350bf2d12ff9c414300e809d9dfab55, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 25.0 years.
Customer ID: 07b0cc76dc921f034a98236199f1ca6a10c4aa3efa8d25c9c30d440e59757754, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 27.0 years.
Customer ID: 07b70d0b240f925d5f90a20157f4865f92561cca66a92bfdb7f660905d082d0c, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 25.0 years.
Customer ID: 07bd8439285bb4e42995bb50788986ef067d1ba45cf0a814cfcfcab1c351edfa, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 26.0 years.
Customer ID: 07be48a81c7291a5d4b2e9ab324224480ee7a555ed83e6c0253d871457767ac1, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 47.0 years.
Customer ID: 07c16b83f1961d3f0661fe947f6c58316951f85c84848eb7f73dd87709b8514d, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 28.0 years.
Customer ID: 07c733274404b97bf695caa521c575339a6eef46b16555ecfc7469949934ec50, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 25.0 years.
Customer ID: 07cd962a2d7ad389761fea7de5bed7d0493c683e9eb1d1768163fb6a093b10d0, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 55.0 years.
Customer ID: 07d3098b6543b6d5292f13401a9759476b2d5c09197d040f24ecce3a9a0039e9, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 32.0 years.
Customer ID: 07dc2898071eb2fc6c9a8d384be7ae2e5eccea5ffe90a140979aa996ddda9ff4, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 40.0 years.
Customer ID: 07de281f79ccef76eed7c882ed5eff5573b3b7f3092b17b4dafecd6e4d8c78e8, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 41.0 years.
Customer ID: 07eac8de6afe57b99fdfec938367eec000c2dd5bfc31f42cd824099b2f561659, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 37.0 years.
Customer ID: 07efa8f3d4fef8b5961409a08c626a8424fb98988b65b0de3507d7d09d55d3f7, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 25.0 years.
Customer ID: 07f0bbbfa712cfb08f256130e634a939350c94d7387f7c8f10eb5b82d288923f, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 27.0 years.
Customer ID: 07f8e5811a00847a10a1d0b68ddaece75458d9b6fd646becd9cf109f233abd5c, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 24.0 years.
Customer ID: 07f9c831ac42a1413430969c4dc2f2de4cf8d9b8b7cc411c375209830e739ab0, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 24.0 years.
Customer ID: 07fb19749cc987450d5f1565e9d8615d13f5270dab4e2284d5d548b2c00a9023, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 46.0 years.
Customer ID: 080756754aef493b2b36f592eae744f2b9787dc55b635b1bec9e4079b359e6e0, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 55.0 years.
